rank,total_amount_eth,total_amount_usd,address_short,last_campaign_end,last_found_date,min_unclaimed_days,max_unclaimed_days,avg_unclaimed_days,avg_claim_probability,total_campaigns,unique_tokens,unique_chains,max_score,total_expected_value,urgency,profit_tier,value_density,inactivity_score,time_decay_risk,recommended_action,opportunity_type,tokens_breakdown,chains_breakdown,whale_flag,is_diversified,address_score
2109,0.00472102,10.31,0x107a...eeee,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.836050999999998,2.58,low,micro,1.2,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0047ETH,Base:0.0047ETH,no,no,31.8197
2127,0.00465843,10.17,0x9cac...2bea,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.832921499999998,2.54,low,micro,1.19,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0047ETH,Base:0.0047ETH,no,no,31.8162
2145,0.00456911,9.98,0xab19...6f3f,2026-04-24,2026-04-13,0.0,0.0,0.0,80.0,1,1,1,26.2284555,2.5,low,micro,1.16,very_low,very_high,monitor_monthly,high_confidence_low_value,WELL:0.0046ETH,Base:0.0046ETH,no,no,27.8513
2163,0.00448387,9.79,0xb373...8aec,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.824193499999996,2.45,low,micro,1.14,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0045ETH,Base:0.0045ETH,no,no,31.8066
2181,0.00437422,9.55,0x17dc...b838,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.818710999999997,2.39,low,micro,1.11,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0044ETH,Base:0.0044ETH,no,no,31.8006
2199,0.00431981,9.43,0x8341...8635,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.815990499999998,2.36,low,micro,1.1,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0043ETH,Base:0.0043ETH,no,no,31.7976
2217,0.00425143,9.29,0x3c1f...90d5,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.812571499999997,2.32,low,micro,1.08,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0043ETH,Base:0.0043ETH,no,no,31.7938
2235,0.00422597,9.23,0xdd98...40cd,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.8112985,2.31,low,micro,1.08,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0042ETH,Base:0.0042ETH,no,no,31.7924
2253,0.00419273,9.16,0xf341...ed18,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.809636499999996,2.29,low,micro,1.07,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0042ETH,Base:0.0042ETH,no,no,31.7906
2271,0.00414978,9.06,0x8ce2...d9f8,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.807488999999997,2.27,low,micro,1.06,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0041ETH,Base:0.0041ETH,no,no,31.7882
